"","Identifier","River","Purpose","Length","Lanes","Material","Span","Type"
"1","E1","Monongahela","HIGHWAY","?","2","WOOD","SHORT","WOOD"
"2","E2","Allegheny","HIGHWAY","MEDIUM","2","WOOD","SHORT","WOOD"
"3","E3","Allegheny","AQUEDUCT","?","1","WOOD","?","WOOD"
"4","E5","Allegheny","HIGHWAY","MEDIUM","2","WOOD","SHORT","WOOD"
"5","E6","Monongahela","HIGHWAY","?","2","WOOD","?","WOOD"
"6","E7","Allegheny","HIGHWAY","SHORT","2","WOOD","MEDIUM","WOOD"
"7","E8","Allegheny","AQUEDUCT","MEDIUM","1","IRON","SHORT","SUSPEN"
"8","E9","Monongahela","HIGHWAY","MEDIUM","2","IRON","SHORT","SUSPEN"
"9","E10","Allegheny","AQUEDUCT","?","1","WOOD","?","WOOD"
"10","E11","Allegheny","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"11","E12","Allegheny","RR","?","2","WOOD","?","WOOD"
"12","E14","Monongahela","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"13","E13","Allegheny","HIGHWAY","?","2","WOOD","?","WOOD"
"14","E15","Allegheny","RR","?","2","WOOD","?","WOOD"
"15","E16","Allegheny","HIGHWAY","MEDIUM","2","IRON","MEDIUM","SUSPEN"
"16","E17","Monongahela","RR","MEDIUM","2","IRON","MEDIUM","SIMPLE-T"
"17","E18","Allegheny","RR","MEDIUM","2","IRON","SHORT","SIMPLE-T"
"18","E19","Allegheny","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"19","E20","Allegheny","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"20","E21","Monongahela","RR","?","2","IRON","?","SIMPLE-T"
"21","E23","Monongahela","HIGHWAY","MEDIUM","?","STEEL","LONG","SUSPEN"
"22","E22","Allegheny","HIGHWAY","MEDIUM","4","WOOD","SHORT","WOOD"
"23","E24","Ohio","RR","?","2","STEEL","?","SIMPLE-T"
"24","E25","Monongahela","RR","?","2","STEEL","?","SIMPLE-T"
"25","E27","Allegheny","RR","?","2","STEEL","?","SIMPLE-T"
"26","E26","Monongahela","RR","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
